administrative_area_level_1,administrative_area_level_2,administrative_area_level_3
Brazil,Pernambuco,Orocó
Brazil,Pernambuco,Itaquitinga
Brazil,Pernambuco,Itambé
Brazil,Bahia,Paulo Afonso
Brazil,Paraná,Medianeira
Brazil,Minas Gerais,Albertina
Brazil,Rio Grande do Sul,Jaboticaba
Brazil,Rio Grande do Sul,Catuípe
Brazil,Paraná,Altamira do Paraná
Brazil,Santa Catarina,Criciúma
Brazil,Ceará,Tururu
Brazil,Bahia,Jussiape
Brazil,São Paulo,Leme
Brazil,Pernambuco,Alagoinha
Brazil,Minas Gerais,Oratórios
Brazil,Espirito Santo,Itaguaçu
Brazil,Piauí,São João da Canabrava
Brazil,Rio Grande do Norte,Caraúbas
Brazil,Paraíba,Pitimbu
Brazil,Goiás,Goianira
Brazil,Espirito Santo,Viana
Brazil,Piauí,Antônio Almeida
Brazil,Espirito Santo,Guaçuí
Brazil,Piauí,Lagoa de São Francisco
Brazil,Santa Catarina,Nova Trento
Brazil,Bahia,Buerarema
Brazil,Piauí,Santa Filomena
Brazil,São Paulo,Dirce Reis
Brazil,Mato Grosso do Sul,Deodápolis
Brazil,Paraíba,Pilar
Brazil,Rio Grande do Norte,Jardim de Angicos
Brazil,Rio de Janeiro,Rio Bonito
Brazil,Paraíba,Cacimba de Dentro
Brazil,São Paulo,Bocaina
Brazil,São Paulo,Salto Grande
Brazil,Ceará,Várzea Alegre
Brazil,Goiás,Crixás
Brazil,Minas Gerais,Diogo de Vasconcelos
Brazil,Minas Gerais,Varginha
Brazil,Rio Grande do Sul,Tucunduva
Brazil,Bahia,Tapiramutá
Brazil,Goiás,Araçu
Brazil,Sergipe,Poço Verde
Brazil,Minas Gerais,Umburatiba
Brazil,Goiás,Anhanguera
Brazil,São Paulo,Bilac
Brazil,Santa Catarina,Capinzal
Brazil,Ceará,Irauçuba
Brazil,Piauí,Brasileira
Brazil,Paraíba,Coxixola
Brazil,Rio Grande do Sul,Alto Feliz
Brazil,Minas Gerais,Mirabela
Brazil,Minas Gerais,Moema
Brazil,Bahia,Barra do Mendes
Brazil,Goiás,Nova Roma
Brazil,Tocantins,Lagoa do Tocantins
Brazil,Minas Gerais,Oliveira
Brazil,São Paulo,Irapuã
Brazil,São Paulo,Duartina
Brazil,Pernambuco,Abreu e Lima
Brazil,Ceará,Jaguaribe
Brazil,Minas Gerais,Santa Rita do Sapucaí
Brazil,São Paulo,Dois Córregos
Brazil,Ceará,Tabuleiro do Norte
Brazil,Mato Grosso,Nobres
Brazil,Minas Gerais,Santana do Riacho
Brazil,Pernambuco,Olinda
Brazil,Pernambuco,Maraial
Brazil,Minas Gerais,Jaboticatubas
Brazil,Ceará,Trairi
Brazil,Rio Grande do Sul,Cidreira
Brazil,Tocantins,Riachinho
Brazil,Paraná,Almirante Tamandaré
Brazil,Ceará,Milagres
Brazil,Pará,Brejo Grande do Araguaia
Brazil,Bahia,Itarantim
Brazil,Minas Gerais,Nova Ponte
Brazil,Maranhão,Colinas
Brazil,Rio Grande do Sul,Independência
Brazil,Pernambuco,Sanharó
Brazil,Bahia,Biritinga
Brazil,Roraima,Bonfim
Brazil,São Paulo,Buritizal
Brazil,Minas Gerais,Carmópolis de Minas
Brazil,Sergipe,Estância
Brazil,Paraná,Porto Barreiro
Brazil,Minas Gerais,Guaxupé
Brazil,Minas Gerais,Francisco Sá
Brazil,Maranhão,Fortuna
Brazil,Minas Gerais,São João Nepomuceno
Brazil,Minas Gerais,Fortaleza de Minas
Brazil,Rio Grande do Sul,Vera Cruz
Brazil,Bahia,Pau Brasil
Brazil,Maranhão,Governador Eugênio Barros
Brazil,São Paulo,Cachoeira Paulista
Brazil,Minas Gerais,Carmo de Minas
Brazil,Sergipe,General Maynard
Brazil,Minas Gerais,Delfim Moreira
Brazil,Rondônia,Mirante da Serra
Brazil,Paraná,Luiziana
Brazil,Piauí,Campo Largo do Piauí
Brazil,Bahia,Ourolândia
Brazil,Mato Grosso,Curvelândia
Brazil,São Paulo,Ouro Verde
Brazil,São Paulo,Cruzeiro
Brazil,Mato Grosso do Sul,Fátima do Sul
Brazil,Rio Grande do Sul,Capão do Leão
Brazil,Pará,Uruará
Brazil,Rio Grande do Sul,Ibirubá
Brazil,Rio Grande do Sul,Coqueiros do Sul
Brazil,Tocantins,Barrolândia
Brazil,Maranhão,Cedral
Brazil,Paraná,Maringá
Brazil,Mato Grosso,Vila Bela da Santíssima Trindade
Brazil,São Paulo,Macaubal
Brazil,Ceará,Tejuçuoca
Brazil,Rio Grande do Sul,Monte Alegre dos Campos
Brazil,Maranhão,São João dos Patos
Brazil,Paraná,Doutor Ulysses
Brazil,Pernambuco,Santa Terezinha
Brazil,Maranhão,Duque Bacelar
Brazil,Rio Grande do Sul,Ivoti
Brazil,São Paulo,Mairiporã
Brazil,Bahia,Pé de Serra
Brazil,Minas Gerais,Aiuruoca
Brazil,Amazonas,Novo Aripuanã
Brazil,Bahia,Palmeiras
Brazil,Goiás,Maurilândia
Brazil,Espirito Santo,Vila Pavão
Brazil,São Paulo,Cotia
Brazil,Goiás,Moiporá
Brazil,Piauí,São Gonçalo do Piauí
Brazil,Amazonas,Santo Antônio do Içá
Brazil,São Paulo,Diadema
Brazil,Piauí,Água Branca
Brazil,Paraíba,Piancó
Brazil,Rio Grande do Norte,Coronel João Pessoa
Brazil,Goiás,São Miguel do Passa Quatro
Brazil,São Paulo,Santa Bárbara d'Oeste
Brazil,Minas Gerais,Guapé
Brazil,Minas Gerais,Descoberto
Brazil,Paraná,Pranchita
Brazil,Paraíba,Camalaú
Brazil,Minas Gerais,Carvalhópolis
Brazil,Minas Gerais,Senador Modestino Gonçalves
Brazil,São Paulo,Álvares Florence
Brazil,Santa Catarina,Três Barras
Brazil,Rio Grande do Norte,João Dias
Brazil,Minas Gerais,Luisburgo
Brazil,Minas Gerais,Guarará
Brazil,Sergipe,Pedrinhas
Brazil,Piauí,Pavussu
Brazil,Minas Gerais,Itaobim
Brazil,Paraíba,Cajazeirinhas
Brazil,Sergipe,Riachuelo
Brazil,Paraná,Tupãssi
Brazil,Rio Grande do Norte,Jandaíra
Brazil,Goiás,Bonópolis
Brazil,Espirito Santo,Ibitirama
Brazil,Santa Catarina,Urupema
Brazil,Maranhão,Bom Jesus das Selvas
Brazil,Rio de Janeiro,
Brazil,Goiás,Damolândia
Brazil,Piauí,Colônia do Piauí
Brazil,Minas Gerais,Iturama
Brazil,Pará,Santarém Novo
Brazil,Bahia,Guajeru
Brazil,Piauí,Betânia do Piauí
Brazil,Paraná,Douradina
Brazil,Goiás,Nerópolis
Brazil,Paraná,Alto Paraná
Brazil,Tocantins,Rio Sono
Brazil,Santa Catarina,Coronel Martins
Brazil,Goiás,Turvânia
Brazil,Ceará,Umari
Brazil,Paraná,Fazenda Rio Grande
Brazil,Maranhão,São Vicente Ferrer
Brazil,Paraná,Honório Serpa
Brazil,São Paulo,Olímpia
Brazil,Pará,Garrafão do Norte
Brazil,Rio Grande do Sul,Santo Augusto
Brazil,Minas Gerais,Itinga
Brazil,Minas Gerais,Santa Rita de Caldas
Brazil,Pernambuco,Tupanatinga
Brazil,Amazonas,Tefé
Brazil,Minas Gerais,Santa Bárbara
Brazil,Ceará,Aurora
Brazil,Paraná,Jardim Olinda
Brazil,Mato Grosso do Sul,Guia Lopes da Laguna
Brazil,Ceará,Itapiúna
Brazil,Minas Gerais,Nova Serrana
Brazil,Rio de Janeiro,Paraty
Brazil,Pernambuco,Toritama
Brazil,Ceará,Araripe
Brazil,Mato Grosso do Sul,Itaporã
Brazil,Paraná,Janiópolis
Brazil,Bahia,Guaratinga
Brazil,São Paulo,Itajobi
Brazil,Mato Grosso,Sapezal
Brazil,Paraná,Guapirama
Brazil,Goiás,Acreúna
Brazil,Pernambuco,Itacuruba
Brazil,Rio Grande do Sul,Chiapetta
Brazil,Tocantins,Recursolândia
Brazil,Minas Gerais,Pescador
Brazil,Bahia,Pilão Arcado
Brazil,Minas Gerais,Bertópolis
Brazil,Paraná,Guarapuava
Brazil,Bahia,Itapé
Brazil,São Paulo,Lagoinha
Brazil,Bahia,Jiquiriçá
Brazil,Ceará,Morrinhos
Brazil,Minas Gerais,Olhos-d'Água
Brazil,Rio Grande do Sul,São José do Hortêncio
Brazil,Pará,Tucuruí
Brazil,Mato Grosso,Cáceres
Brazil,Maranhão,Sucupira do Riachão
Brazil,Rio Grande do Sul,São Marcos
Brazil,Maranhão,Conceição do Lago-Açu
Brazil,Pará,Bragança
Brazil,Bahia,Itatim
Brazil,Paraíba,Teixeira
Brazil,Santa Catarina,Otacílio Costa
Brazil,Bahia,Brejões
Brazil,São Paulo,Orindiúva
Brazil,Maranhão,Santa Luzia do Paruá
Brazil,Amazonas,São Paulo de Olivença
Brazil,Rio de Janeiro,São José de Ubá
Brazil,Santa Catarina,Monte Castelo
Brazil,Minas Gerais,Franciscópolis
Brazil,Goiás,Morro Agudo de Goiás
Brazil,Paraná,Porto Amazonas
Brazil,Rio Grande do Sul,Nova Candelária
Brazil,Minas Gerais,Carneirinho
Brazil,Bahia,Caraíbas
Brazil,Alagoas,Branquinha
Brazil,Rio Grande do Norte,
Brazil,Alagoas,Palmeira dos Índios
Brazil,Rondônia,Vale do Anari
Brazil,Minas Gerais,São João da Mata
Brazil,Alagoas,Penedo
Brazil,Alagoas,São Miguel dos Milagres
Brazil,Rio de Janeiro,Quissamã
Brazil,Santa Catarina,Palhoça
Brazil,São Paulo,Quintana
Brazil,Santa Catarina,Campo Alegre
Brazil,Espirito Santo,Vitória
Brazil,Minas Gerais,Senador Firmino
Brazil,Rio de Janeiro,São Francisco de Itabapoana
Brazil,Bahia,Tucano
Brazil,Alagoas,Capela
Brazil,Minas Gerais,São Vicente de Minas
Brazil,Sergipe,Boquim
Brazil,Rio de Janeiro,Rio das Flores
Brazil,Santa Catarina,Capivari de Baixo
Brazil,Paraná,Quatiguá
Brazil,São Paulo,Chavantes
Brazil,Piauí,Palmeira do Piauí
Brazil,Paraná,Tibagi
Brazil,São Paulo,Bento de Abreu
Brazil,Rio Grande do Norte,Rafael Fernandes
Brazil,Maranhão,Estreito
Brazil,Bahia,Teixeira de Freitas
Brazil,São Paulo,Ribeira
Brazil,Paraná,Telêmaco Borba
Brazil,Rio de Janeiro,São Gonçalo
Brazil,Minas Gerais,Varjão de Minas
Brazil,Rio Grande do Sul,Tunas
Brazil,São Paulo,São Pedro
Brazil,Paraíba,Soledade
Brazil,Tocantins,Chapada de Areia
Brazil,Bahia,Teofilândia
Brazil,Santa Catarina,Bocaina do Sul
Brazil,São Paulo,Ocauçu
Brazil,Roraima,Mucajaí
Brazil,Rio Grande do Sul,São Sepé
Brazil,Rio Grande do Sul,Herveiras
Brazil,Paraíba,Coremas
Brazil,Minas Gerais,Braúnas
Brazil,São Paulo,Nova Luzitânia
Brazil,Rondônia,Cabixi
Brazil,Santa Catarina,Coronel Freitas
Brazil,Paraíba,Campina Grande
Brazil,Rio Grande do Sul,Bom Retiro do Sul
Brazil,Minas Gerais,Bela Vista de Minas
Brazil,Minas Gerais,Bom Sucesso
Brazil,Bahia,Governador Mangabeira
Brazil,Pernambuco,Água Preta
Brazil,Minas Gerais,Piracema
Brazil,Rio Grande do Sul,Barros Cassal
Brazil,Bahia,Gandu
Brazil,Minas Gerais,Bonito de Minas
Brazil,Santa Catarina,Catanduvas
Brazil,São Paulo,Jaú
Brazil,Rio Grande do Sul,Faxinal do Soturno
Brazil,Piauí,Jurema
Brazil,Pernambuco,Camaragibe
Brazil,Ceará,Pentecoste
Brazil,São Paulo,Mombuca
Brazil,Rio de Janeiro,Barra Mansa
Brazil,São Paulo,Três Fronteiras
Brazil,São Paulo,Trabiju
Brazil,Piauí,Francisco Macedo
Brazil,Paraná,Paranavaí
Brazil,São Paulo,Nova Campina
Brazil,São Paulo,Pirassununga
Brazil,Paraná,Santa Terezinha de Itaipu
Brazil,Pernambuco,Venturosa
Brazil,São Paulo,Tietê
Brazil,Maranhão,Paço do Lumiar
Brazil,Paraná,Paraíso do Norte
Brazil,São Paulo,Mococa
Brazil,Bahia,Feira da Mata
Brazil,São Paulo,Pedrinhas Paulista
Brazil,Piauí,Guaribas
Brazil,Rio Grande do Sul,Pinheiro Machado
Brazil,Santa Catarina,Santo Amaro da Imperatriz
Brazil,Paraíba,Riachão do Bacamarte
Brazil,Mato Grosso do Sul,Amambai
Brazil,Santa Catarina,Angelina
Brazil,Alagoas,Girau do Ponciano
Brazil,Santa Catarina,Salete
Brazil,Minas Gerais,São Gonçalo do Rio Preto
Brazil,Paraíba,Água Branca
Brazil,Mato Grosso do Sul,Selvíria
Brazil,São Paulo,Promissão
Brazil,São Paulo,Guaíra
Brazil,Santa Catarina,Pinhalzinho
Brazil,Minas Gerais,Madre de Deus de Minas
Brazil,Goiás,Iporá
Brazil,Alagoas,Craíbas
Brazil,Minas Gerais,Imbé de Minas
Brazil,Goiás,Santa Fé de Goiás
Brazil,Tocantins,Santa Terezinha do Tocantins
Brazil,Paraíba,Juazeirinho
Brazil,Paraíba,Alagoinha
Brazil,Paraíba,Marizópolis
Brazil,Alagoas,Colônia Leopoldina
Brazil,São Paulo,Holambra
Brazil,São Paulo,São Bento do Sapucaí
Brazil,Paraíba,Itapororoca
Brazil,Rio Grande do Norte,Lagoa de Pedras
Brazil,São Paulo,Capivari
Brazil,São Paulo,Santa Fé do Sul
Brazil,Minas Gerais,Maravilhas
Brazil,São Paulo,Cândido Mota
Brazil,São Paulo,Santa Cruz da Conceição
Brazil,Rio Grande do Norte,Lajes
Brazil,Bahia,Salinas da Margarida
Brazil,São Paulo,Praia Grande
Brazil,Minas Gerais,Serra dos Aimorés
Brazil,Sergipe,São Cristóvão
Brazil,Minas Gerais,Jampruca
Brazil,Acre,
Brazil,Goiás,Castelândia
Brazil,Sergipe,Santa Luzia do Itanhy
Brazil,Bahia,Abaré
Brazil,Maranhão,Ribamar Fiquene
Brazil,Mato Grosso,Tesouro
Brazil,Minas Gerais,Conceição de Ipanema
Brazil,Maranhão,Afonso Cunha
Brazil,Mato Grosso,Arenápolis
Brazil,Bahia,Aiquara
Brazil,Rio Grande do Norte,Triunfo Potiguar
Brazil,Mato Grosso,Vera
Brazil,Maranhão,Alto Parnaíba
Brazil,Minas Gerais,Pedra do Anta
Brazil,Paraná,Jacarezinho
Brazil,Paraná,São João
Brazil,Paraná,Cafeara
Brazil,São Paulo,Itapetininga
Brazil,Minas Gerais,Alto Caparaó
Brazil,Tocantins,Campos Lindos
Brazil,Tocantins,Marianópolis do Tocantins
Brazil,Amapá,Porto Grande
Brazil,Bahia,Ibiquera
Brazil,Ceará,Palmácia
Brazil,São Paulo,Itápolis
Brazil,Bahia,Cruz das Almas
Brazil,Rio Grande do Sul,Garibaldi
Brazil,Maranhão,Vitória do Mearim
Brazil,Pernambuco,Capoeiras
Brazil,Minas Gerais,Matutina
Brazil,Minas Gerais,Cajuri
Brazil,Paraná,Morretes
Brazil,Bahia,Catolândia
Brazil,Ceará,Ibiapina
Brazil,Tocantins,Guaraí
Brazil,Mato Grosso,Pontes e Lacerda
Brazil,Minas Gerais,Paineiras
Brazil,Bahia,Cardeal da Silva
Brazil,Pernambuco,Petrolândia
Brazil,Minas Gerais,Mercês
Brazil,Rio Grande do Sul,Jaquirana
Brazil,Minas Gerais,Alvarenga
Brazil,Paraná,Perobal
Brazil,Minas Gerais,Prudente de Morais
Brazil,Pernambuco,Cabrobó
Brazil,Minas Gerais,Córrego Danta
Brazil,Rio Grande do Norte,Barcelona
Brazil,Goiás,Santa Tereza de Goiás
Brazil,Rio Grande do Norte,Taipu
Brazil,Rio Grande do Sul,Trindade do Sul
Brazil,Piauí,Vila Nova do Piauí
Brazil,Paraíba,Serraria
Brazil,Santa Catarina,Águas Frias
Brazil,Santa Catarina,Joinville
Brazil,Espirito Santo,Colatina
Brazil,Paraná,Campo Mourão
Brazil,Rio Grande do Norte,Areia Branca
Brazil,São Paulo,Taquarituba
Brazil,Minas Gerais,Fervedouro
Brazil,São Paulo,Santo Antônio do Aracanguá
Brazil,Paraná,Santa Isabel do Ivaí
Brazil,Bahia,Ubaíra
Brazil,Minas Gerais,Rio Casca
Brazil,Rio Grande do Sul,Taquari
Brazil,Tocantins,Sucupira
Brazil,Minas Gerais,Dom Cavati
Brazil,Santa Catarina,Paulo Lopes
Brazil,Minas Gerais,Inhapim
Brazil,Rio Grande do Norte,Serrinha
Brazil,Acre,Mâncio Lima
Brazil,Santa Catarina,Petrolândia
Brazil,Paraíba,Princesa Isabel
Brazil,São Paulo,Barrinha
Brazil,Piauí,Dom Inocêncio
Brazil,Alagoas,Olho d'Água Grande
Brazil,Rio Grande do Norte,Lucrécia
Brazil,Sergipe,Capela
Brazil,Amazonas,Canutama
Brazil,Sergipe,Cristinápolis
Brazil,Goiás,Carmo do Rio Verde
Brazil,Bahia,Uruçuca
Brazil,Amazonas,Barreirinha
Brazil,Bahia,São Felipe
Brazil,Piauí,Boa Hora
Brazil,Paraíba,São Francisco
Brazil,Minas Gerais,Teixeiras
Brazil,São Paulo,Pratânia
Brazil,Santa Catarina,Lebon Régis
Brazil,Sergipe,São Francisco
Brazil,Goiás,Sanclerlândia
Brazil,Bahia,São Sebastião do Passé
Brazil,Piauí,Teresina
Brazil,Rio Grande do Sul,Arroio do Sal
Brazil,Pará,Eldorado do Carajás
Brazil,Tocantins,Oliveira de Fátima
Brazil,Santa Catarina,Ermo
Brazil,Rio Grande do Norte,Vera Cruz
Brazil,Paraná,Espigão Alto do Iguaçu
Brazil,Pernambuco,Recife
Brazil,Pará,Capitão Poço
Brazil,Tocantins,Sandolândia
Brazil,Pará,Óbidos
Brazil,Ceará,Pires Ferreira
Brazil,Tocantins,Divinópolis do Tocantins
Brazil,Piauí,Inhuma
Brazil,Pará,Paragominas
Brazil,Rio Grande do Sul,Nova Petrópolis
Brazil,Rio Grande do Norte,Natal
Brazil,Pernambuco,Chã Grande
Brazil,São Paulo,Santa Cruz da Esperança
Brazil,Pernambuco,Caruaru
Brazil,São Paulo,Barra do Turvo
Brazil,Paraíba,Pombal
Brazil,Piauí,Bonfim do Piauí
Brazil,São Paulo,Aparecida d'Oeste
Brazil,Paraná,Santa Amélia
Brazil,Bahia,Ubatã
Brazil,Paraná,Santa Helena
Brazil,São Paulo,Barão de Antonina
Brazil,Minas Gerais,Tiros
Brazil,Maranhão,Amapá do Maranhão
Brazil,Rio Grande do Norte,Touros
Brazil,Paraná,Santo Antônio do Caiuá
Brazil,Ceará,Guaramiranga
Brazil,Bahia,Central
Brazil,Paraná,Miraselva
Brazil,Maranhão,Água Doce do Maranhão
Brazil,Minas Gerais,Patrocínio do Muriaé
Brazil,Rio Grande do Sul,Garruchos
Brazil,Roraima,
Brazil,Maranhão,Bom Lugar
Brazil,Minas Gerais,Presidente Olegário
Brazil,Minas Gerais,Alterosa
Brazil,Minas Gerais,Pratinha
Brazil,Bahia,Madre de Deus
Brazil,Piauí,Caraúbas do Piauí
Brazil,Rio de Janeiro,Belford Roxo
Brazil,Rio Grande do Sul,Cruzeiro do Sul
Brazil,Minas Gerais,Andradas
Brazil,Pará,São João de Pirabas
Brazil,Bahia,Itaeté
Brazil,São Paulo,Poloni
Brazil,Rio Grande do Sul,Dom Pedrito
Brazil,Bahia,Itaju do Colônia
Brazil,São Paulo,Joanópolis
Brazil,Rio Grande do Sul,Faxinalzinho
Brazil,Pernambuco,Calumbi
Brazil,Maranhão,Tutóia
Brazil,Paraná,Cruzeiro do Iguaçu
Brazil,São Paulo,Pedreira
Brazil,Ceará,Ipaumirim
Brazil,Piauí,Guadalupe
Brazil,Paraná,Nova América da Colina
Brazil,São Paulo,Teodoro Sampaio
Brazil,Maranhão,Presidente Vargas
Brazil,Bahia,Eunápolis
Brazil,Minas Gerais,Padre Carvalho
Brazil,Ceará,Brejo Santo
Brazil,São Paulo,Mirassol
Brazil,Ceará,Baturité
Brazil,São Paulo,Pereiras
Brazil,Piauí,Francisco Ayres
Brazil,São Paulo,Pitangueiras
Brazil,Maranhão,Sambaíba
Brazil,Minas Gerais,Ouro Fino
Brazil,São Paulo,Jundiaí
Brazil,Goiás,Caturaí
Brazil,Minas Gerais,Divino das Laranjeiras
Brazil,Santa Catarina,Saltinho
Brazil,Ceará,Eusébio
Brazil,Santa Catarina,Irineópolis
Brazil,Espirito Santo,Domingos Martins
Brazil,Rio Grande do Norte,Serra do Mel
Brazil,Minas Gerais,Divisa Alegre
Brazil,São Paulo,Analândia
Brazil,Paraíba,Remígio
Brazil,Rio Grande do Sul,São José do Inhacorá
Brazil,Pará,Quatipuru
Brazil,Rio Grande do Sul,Capão Bonito do Sul
Brazil,Santa Catarina,São Bernardino
Brazil,Paraíba,Mari
Brazil,Minas Gerais,São Francisco
Brazil,Minas Gerais,Lagoa dos Patos
Brazil,Alagoas,Murici
Brazil,Piauí,Uruçuí
Brazil,São Paulo,Ibitinga
Brazil,Goiás,Santa Cruz de Goiás
Brazil,Goiás,Piranhas
Brazil,Santa Catarina,Iraceminha
Brazil,Minas Gerais,Ilicínea
Brazil,Rio Grande do Norte,Jundiá
Brazil,São Paulo,Iacri
Brazil,Minas Gerais,Dona Euzébia
Brazil,Paraná,Tamarana
Brazil,Minas Gerais,Nova Belém
Brazil,Rio Grande do Norte,Paraú
Brazil,Minas Gerais,Riacho dos Machados
Brazil,Paraíba,Montadas
Brazil,Rio Grande do Sul,Pouso Novo
Brazil,Minas Gerais,São Geraldo
Brazil,Minas Gerais,Lajinha
Brazil,Piauí,Eliseu Martins
Brazil,Goiás,Cezarina
Brazil,Rio Grande do Norte,Rio do Fogo
Brazil,Piauí,Curimatá
Brazil,Bahia,Mairi
Brazil,Minas Gerais,Martins Soares
Brazil,Santa Catarina,Brunópolis
Brazil,Amazonas,Autazes
Brazil,Bahia,Santa Cruz Cabrália
Brazil,Bahia,Maracás
Brazil,Goiás,Inhumas
Brazil,Mato Grosso,Querência
Brazil,Rio Grande do Sul,Palmitinho
Brazil,Goiás,Vila Propício
Brazil,Paraná,Boa Esperança
Brazil,Minas Gerais,Conceição dos Ouros
Brazil,Pará,Curuçá
Brazil,Bahia,Cotegipe
Brazil,Mato Grosso,Barra do Bugres
Brazil,Minas Gerais,Comercinho
Brazil,Rio Grande do Sul,Novo Hamburgo
Brazil,Paraná,Cambira
Brazil,Paraná,Missal
Brazil,Maranhão,Santo Amaro do Maranhão
Brazil,Pará,Chaves
Brazil,Paraná,Ivaí
Brazil,Pernambuco,Vertentes
Brazil,Rio Grande do Sul,Encantado
Brazil,Rio de Janeiro,Cachoeiras de Macacu
Brazil,Minas Gerais,Coroaci
Brazil,Maranhão,Anajatuba
Brazil,Tocantins,Alvorada
Brazil,Maranhão,Nova Olinda do Maranhão
Brazil,Mato Grosso,Ponte Branca
Brazil,Mato Grosso,Paranatinga
Brazil,Maranhão,Santa Filomena do Maranhão
Brazil,Ceará,Parambu
Brazil,Bahia,Ibipeba
Brazil,Rio Grande do Sul,Bagé
Brazil,Minas Gerais,Bandeira
Brazil,Rio de Janeiro,Porto Real
Brazil,Maranhão,Santa Inês
Brazil,Maranhão,Passagem Franca
Brazil,Rio Grande do Sul,Sede Nova
Brazil,Minas Gerais,Campanário
Brazil,Bahia,Ibiassucê
Brazil,Rio Grande do Sul,Arroio do Tigre
Brazil,São Paulo,Taquarivaí
Brazil,Goiás,Itaguaru
Brazil,Minas Gerais,Ferros
Brazil,Santa Catarina,Imbituba
Brazil,São Paulo,Santo Antônio de Posse
Brazil,Minas Gerais,Serra Azul de Minas
Brazil,São Paulo,Presidente Bernardes
Brazil,Bahia,Rodelas
Brazil,Alagoas,Dois Riachos
Brazil,Minas Gerais,Senhora do Porto
Brazil,Santa Catarina,Águas de Chapecó
Brazil,São Paulo,Carapicuíba
Brazil,Rio Grande do Sul,Três Passos
Brazil,São Paulo,Santópolis do Aguapeí
Brazil,Paraíba,Jacaraú
Brazil,Santa Catarina,Ipumirim
Brazil,Goiás,Água Fria de Goiás
Brazil,Rio Grande do Sul,Porto Alegre
Brazil,Maranhão,Matões do Norte
Brazil,São Paulo,Taiúva
Brazil,Rio Grande do Sul,Poço das Antas
Brazil,Paraná,Castro
Brazil,Minas Gerais,Lamim
Brazil,São Paulo,Emilianópolis
Brazil,Paraíba,Sapé
Brazil,Distrito Federal,
Brazil,Rio Grande do Norte,Serra de São Bento
Brazil,Rio Grande do Sul,Tavares
Brazil,Mato Grosso do Sul,Rio Verde de Mato Grosso
Brazil,São Paulo,Icém
Brazil,São Paulo,Guaraçaí
Brazil,Piauí,Cajueiro da Praia
Brazil,São Paulo,Sarapuí
Brazil,Piauí,Milton Brandão
Brazil,Bahia,Sebastião Laranjeiras
Brazil,Piauí,Baixa Grande do Ribeiro
Brazil,Goiás,Gouvelândia
Brazil,Bahia,Serra Preta
Brazil,Goiás,Abadiânia
Brazil,Bahia,Nova Itarana
Brazil,Piauí,Nossa Senhora de Nazaré
Brazil,Piauí,Novo Oriente do Piauí
Brazil,Piauí,Ribeiro Gonçalves
Brazil,São Paulo,Estrela do Norte
Brazil,Rondônia,Porto Velho
Brazil,Pernambuco,Tamandaré
Brazil,Rondônia,Cacaulândia
Brazil,São Paulo,Severínia
Brazil,Bahia,Muquém do São Francisco
Brazil,Bahia,Mutuípe
Brazil,Minas Gerais,Boa Esperança
Brazil,Rio Grande do Sul,Camaquã
Brazil,Pernambuco,Granito
Brazil,Mato Grosso,Pedra Preta
Brazil,Paraná,Arapongas
Brazil,Espirito Santo,Presidente Kennedy
Brazil,Pará,São Domingos do Capim
Brazil,Rio Grande do Sul,Campo Bom
Brazil,Rio Grande do Sul,Morrinhos do Sul
Brazil,Mato Grosso,Cláudia
Brazil,Minas Gerais,Cássia
Brazil,Rio Grande do Sul,Lavras do Sul
Brazil,Pará,São Geraldo do Araguaia
Brazil,Minas Gerais,Bom Repouso
Brazil,Rio Grande do Sul,Jaguari
Brazil,Mato Grosso,Denise
Brazil,Rio de Janeiro,Miguel Pereira
Brazil,Bahia,Baianópolis
Brazil,Pará,Acará
Brazil,Pernambuco,São Lourenço da Mata
Brazil,Minas Gerais,Santana do Paraíso
Brazil,Bahia,Araci
Brazil,Rio Grande do Sul,Santa Clara do Sul
Brazil,Paraná,Cafezal do Sul
Brazil,Maranhão,Junco do Maranhão
Brazil,Pernambuco,São Joaquim do Monte
Brazil,Pará,Altamira
Brazil,Tocantins,Araguatins
Brazil,Minas Gerais,Central de Minas
Brazil,Rio Grande do Sul,Arroio do Padre
Brazil,Minas Gerais,Águas Formosas
Brazil,Minas Gerais,Buritis
Brazil,Maranhão,São Bernardo
Brazil,Rio de Janeiro,Sumidouro
Brazil,São Paulo,Ilhabela
Brazil,Goiás,São João d'Aliança
Brazil,Rio Grande do Sul,São Luiz Gonzaga
Brazil,São Paulo,Rubiácea
Brazil,São Paulo,Rio das Pedras
Brazil,Rio de Janeiro,São Sebastião do Alto
Brazil,São Paulo,Igaraçu do Tietê
Brazil,Paraná,Ribeirão Claro
Brazil,Espirito Santo,Linhares
Brazil,Paraná,Marialva
Brazil,Santa Catarina,Balneário Camboriú
Brazil,São Paulo,Ribeirão Pires
Brazil,Santa Catarina,Forquilhinha
Brazil,São Paulo,Cananéia
Brazil,São Paulo,Brotas
Brazil,Rondônia,São Felipe D'Oeste
Brazil,Espirito Santo,Mucurici
Brazil,Paraná,Ramilândia
Brazil,Minas Gerais,Jequitinhonha
Brazil,Santa Catarina,São Miguel do Oeste
Brazil,Minas Gerais,Gonçalves
Brazil,Rio Grande do Norte,Tibau
Brazil,São Paulo,Brejo Alegre
Brazil,São Paulo,Agudos
Brazil,Paraíba,Vieirópolis
Brazil,Santa Catarina,Siderópolis
Brazil,Santa Catarina,Braço do Norte
